input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(34.37),exhaust_ws_(45.57),case_agr_(26.71),case_mt_(44.24),merge_cond_(56.59),case_(64.68),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_DP2_(0.00),LB_T_(31.40),LB_C_(17.35),cl_mt_(23.79),cl_(5.27),cl_agr_(22.05),wh_(5.27),wh_agr_(14.33),wh_mt_(36.69)
"wolofDefault_[T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,1.202867701530681e-05,1.371325017618425e-05,-89.17766425941507,-77.17766425941505,rMerge,"[T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",1,0.999999999941903,0.9999999999921374,-77.49071725886665,-59.49071725886665,Label,"[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,4.0,0.0,4.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,5.8096874347204077e-11,7.862556945335732e-12,-101.059626510137,-85.059626510137,Label,"[T [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,3.0,1.0,3.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,2.6353747910053747e-45,6.532440999864376e-48,-180.13802103598616,-168.13802103598616,iMerge,"[.. [C cl_agr] [.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,2.6353747910053747e-45,6.532440999864376e-48,-180.13802103598616,-168.13802103598616,iMerge,"[.. [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]] [.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,5.413154675120599e-39,2.457568420562871e-43,-165.60270384341996,-157.60270384341996,iMerge,"[.. [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]] [.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1.1118814537040891e-32,9.24561361040019e-39,-151.0673866508537,-147.0673866508537,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,2.2838445255835513e-26,3.4782905866457604e-34,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP wh,cl] [.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,2.8045714021875194e-44,2.3320816658126357e-50,-177.7732106210408,-173.7732106210408,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,9.902237315592089e-21,2.454519230112374e-23,-123.55224348860125,-111.55224348860125,rMerge,"[.. [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",1,0.018313734178864435,0.9999991832483102,-83.92791191647025,-65.92791191647025,mtAgree,"[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,4.0,0.0,4.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1.1327872580604065e-19,1.5332190370555544e-20,-123.55224348860125,-111.55224348860125,iMerge,"[.. [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]] [C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,2.326785800188895e-13,5.768120504038214e-16,-109.016926296035,-101.016926296035,iMerge,"[.. [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]] [C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,4.779301781016167e-07,2.1700235481683213e-11,-94.48160910346877,-90.48160910346877,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,0.9816857878439263,8.163841577700104e-07,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP wh,cl] [C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1.2055145854630894e-18,5.473592499444694e-23,-121.18743307365585,-117.18743307365585,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,4.679833294119646e-11,3.458311892524188e-10,-103.71298145198129,-87.71298145198129,rMerge,"[C cl_agr [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,4.0,0.0,4.0,0.0,0.0
"wolofDefault_[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1.1539198393153474e-19,1.878010821379875e-14,-123.55224348860125,-111.55224348860125,iMerge,"[.. [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,2.370192882706337e-13,7.065261038246814e-10,-109.016926296035,-101.016926296035,iMerge,"[.. [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofDefault_[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,4.868461490847422e-07,2.6580205486723265e-05,-94.48160910346877,-90.48160910346877,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",1,0.9999995131536139,0.9999734190879487,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1.2280039229358071e-18,6.704499290278763e-17,-121.18743307365585,-117.18743307365585,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,3.0148162159028903e-22,1.9794757429660446e-14,-129.49962459818659,-111.49962459818659,rMerge,"[C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",0,1,0,0,0,0,0,0,0,0.0,0,0,1.0,4.0,0.0,4.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,2.6177586406935734e-30,4.794592196080715e-32,-102.0,-100.0,Label,"[DP wh,cl [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1.0,1.0,-33.88476568116793,-27.884765681167927,Label,"[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,2.6353747911584257e-45,6.532440999915598e-48,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP wh,cl] [.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,1.4805060606452495e-70,3.261031610380663e-66,-194.6733382285524,-178.6733382285524,iMerge,"[.. [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]] [.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,4.0,0.0,4.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,3.0410127360553946e-64,1.2268320991028694e-61,-180.13802103598616,-168.13802103598616,iMerge,"[.. [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]] [.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,6.246349614279956e-58,4.6154627713448424e-57,-165.60270384341996,-157.60270384341996,iMerge,"[.. [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]] [.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,1.2830226931054474e-51,1.7363823957042734e-52,-151.0673866508537,-147.0673866508537,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,3.236252157506347e-63,4.3797910236122034e-64,-177.7732106210408,-173.7732106210408,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,9.902237316167447e-21,2.45451923013169e-23,-79.94629191090252,-79.94629191090252,rMerge,"[.. [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,2.4205718112690093e-09,4.433431930480128e-11,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP wh,cl] [C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofDefault_[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,2.793147195344413e-28,8.326254460730288e-25,-123.55224348860125,-111.55224348860125,iMerge,"[.. [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]] [C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofDefault_[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,5.737224872296587e-22,3.132418650958729e-20,-109.016926296035,-101.016926296035,iMerge,"[.. [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]] [C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofDefault_[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,1.1784466386218837e-15,1.1784466414221528e-15,-94.48160910346877,-90.48160910346877,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,2.972473127123975e-27,2.9724731341872774e-27,-121.18743307365585,-117.18743307365585,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofDefault_[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",1,0.999999997579427,0.9999999999556646,-60.10702987428257,-56.10702987428257,rMerge,"[C [DP wh,cl] [C [C cl_agr] [T [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]]",0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,5.214875427538791e-05,5.214875427538791e-05,-44.235923629855684,-44.235923629855684,mtAgree,"[DP wh,cl]",0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",1,0.9999341386988777,0.9999341386988777,-34.374579229186196,-34.374579229186196,xMerge,"[.. [V] [DP case_agr,wh,cl]]",1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,"[.. [v case] [DP case_agr,wh,cl]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,"[.. [T case] [DP case_agr,wh,cl]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,"[.. [C wh_agr,cl_agr] [DP case_agr,wh,cl]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,2.6612180033730606e-25,2.6612180033730606e-25,-90.96035677657113,-90.96035677657113,xMerge,"[.. [DP2 case_agr] [DP case_agr,wh,cl]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP case_agr,wh,cl]",0,1.3712546846953831e-05,1.3712546846953831e-05,-45.57171268171633,-45.57171268171633,rMerge,"[DP case_agr,wh,cl]",0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",1,0.9776300970825024,0.9995810814061549,-76.16881110004823,-72.16881110004823,Label,"[V [V] [DP case_agr,wh,cl]]",0,0,1,0,0,0,0,1,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,5.913325193218333e-12,8.182504706680692e-13,-102.0,-100.0,Label,"[DP case_agr,wh,cl [V] [DP case_agr,wh,cl]]",0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68373089992229e-07,6.898480390302145e-09,-90.96035677657113,-90.96035677657113,xMerge,"[.. [v case] [.. [V] [DP case_agr,wh,cl]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68373089992229e-07,6.898480390302145e-09,-90.96035677657113,-90.96035677657113,xMerge,"[.. [T case] [.. [V] [DP case_agr,wh,cl]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68373089992229e-07,6.898480390302145e-09,-90.96035677657113,-90.96035677657113,xMerge,"[.. [C wh_agr,cl_agr] [.. [V] [DP case_agr,wh,cl]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,3.68373089992229e-07,6.898480390302145e-09,-90.96035677657113,-90.96035677657113,xMerge,"[.. [DP2 case_agr] [.. [V] [DP case_agr,wh,cl]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,5.9531187879111325e-27,1.1148336926676854e-28,-136.53206945828745,-136.53206945828745,iMerge,"[.. [V] [.. [V] [DP case_agr,wh,cl]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,5.9531187879111325e-27,1.1148336926676854e-28,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP case_agr,wh,cl] [.. [V] [DP case_agr,wh,cl]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [V] [DP case_agr,wh,cl]]",0,0.022368429419224647,0.0004188909991053745,-79.94629191090252,-79.94629191090252,rMerge,"[.. [V] [DP case_agr,wh,cl]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
