input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(45.87),exhaust_ws_(54.19),case_agr_(30.62),case_mt_(59.20),merge_cond_(62.43),case_(72.84),LB_DP_(100.00),LB_V_(61.96),LB_v_(25.67),LB_DP2_(10.82),LB_T_(45.35),LB_C_(0.00),foc_(20.01),wh_(6.78)
acc_[.. [v case] [V [V] [DP case_agr]]],1,1.0,1.0,-86.91628758197493,-86.91628758197493,Label,[v case [v case] [V [V] [DP case_agr]]],0,0,2,0,0,0,0,0,1,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,8.108476431711802e-35,8.108476431711802e-35,-165.41385584920852,-165.41385584920852,Label,[V [v case] [V [V] [DP case_agr]]],0,0,1,0,0,1,0,1,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,2.609594398266006e-23,2.609594398266006e-23,-138.91654991454288,-138.91654991454288,xMerge,[.. [DP2 case_agr] [.. [v case] [V [V] [DP case_agr]]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,2.609594398266006e-23,2.609594398266006e-23,-138.91654991454288,-138.91654991454288,xMerge,[.. [T case] [.. [v case] [V [V] [DP case_agr]]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,2.609594398266006e-23,2.609594398266006e-23,-138.91654991454288,-138.91654991454288,xMerge,[.. [C] [.. [v case] [V [V] [DP case_agr]]]],1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,7.629862495831123e-47,7.629862495831123e-47,-193.10571712907733,-193.10571712907733,iMerge,[.. [v case] [.. [v case] [V [V] [DP case_agr]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,7.629862495831123e-47,7.629862495831123e-47,-193.10571712907733,-193.10571712907733,iMerge,[.. [V [V] [DP case_agr]] [.. [v case] [V [V] [DP case_agr]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,1.5178431025585714e-33,1.5178431025585714e-33,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP case_agr] [.. [v case] [V [V] [DP case_agr]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [v case] [V [V] [DP case_agr]]],0,9.860026039474797e-20,9.860026039474797e-20,-130.67950063232442,-130.67950063232442,rMerge,[.. [v case] [V [V] [DP case_agr]]],1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v case [v case] [V [V] [DP case_agr]]],0,0.0008634967245957252,0.0008634967245957252,-107.1117452117222,-107.1117452117222,xMerge,[.. [DP2 case_agr] [v case [v case] [V [V] [DP case_agr]]]],1,0,2,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v case [v case] [V [V] [DP case_agr]]],0,6.681890339730658e-31,6.681890339730658e-31,-169.5379617084751,-169.5379617084751,xMerge,[.. [T case] [v case [v case] [V [V] [DP case_agr]]]],1,0,2,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v case [v case] [V [V] [DP case_agr]]],0,6.681890339730658e-31,6.681890339730658e-31,-169.5379617084751,-169.5379617084751,xMerge,[.. [C] [v case [v case] [V [V] [DP case_agr]]]],1,0,2,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v case [v case] [V [V] [DP case_agr]]],0,5.0224377718638086e-14,5.0224377718638086e-14,-130.67950063232442,-130.67950063232442,iMerge,[.. [V [V] [DP case_agr]] [v case [v case] [V [V] [DP case_agr]]]],1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v case [v case] [V [V] [DP case_agr]]],1,0.9991362929827753,0.9991362929827753,-100.05808883839221,-100.05808883839221,iMerge,[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v case [v case] [V [V] [DP case_agr]]],0,2.1029257864481166e-07,2.1029257864481166e-07,-115.43199080239883,-115.43199080239883,rMerge,[v case [v case] [V [V] [DP case_agr]]],0,1,2,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],1,1.0,1.0,0.0,0.0,Agree,[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,8.677825723555565e-76,8.677825723555565e-76,-172.83569606293167,-172.83569606293167,Label,[DP case_agr [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,3.559967931466759e-25,3.559967931466759e-25,-56.29487578804273,-56.29487578804273,Label,[v case [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,0,1,0,0,0,0,0,1,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,9.290072371962274e-48,9.290072371962274e-48,-108.29513812061069,-108.29513812061069,xMerge,[.. [DP2 case_agr] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,9.290072371962274e-48,9.290072371962274e-48,-108.29513812061069,-108.29513812061069,xMerge,[.. [T case] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,9.290072371962274e-48,9.290072371962274e-48,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,2.7162065806660496e-71,2.7162065806660496e-71,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP case_agr] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,6.863449722969736e-98,6.863449722969736e-98,-223.7271289230095,-223.7271289230095,iMerge,[.. [v case [v case] [V [V] [DP case_agr]]] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,1,2,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1.365377138507889e-84,1.365377138507889e-84,-193.10571712907733,-193.10571712907733,iMerge,[.. [V [V] [DP case_agr]] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,3.510137650395797e-44,3.510137650395797e-44,-100.05808883839221,-100.05808883839221,rMerge,[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.225334518197476e-64,1.225334518197476e-64,-172.83569606293167,-172.83569606293167,Label,[DP [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],1,1.0,1.0,-25.673463994110527,-25.673463994110527,Label,[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.3117855458906286e-36,1.3117855458906286e-36,-108.29513812061069,-108.29513812061069,xMerge,[.. [DP2 case_agr] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.3117855458906286e-36,1.3117855458906286e-36,-108.29513812061069,-108.29513812061069,xMerge,[.. [T case] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.3117855458906286e-36,1.3117855458906286e-36,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,3.8353635897651554e-60,3.8353635897651554e-60,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,9.69139289884458e-87,9.69139289884458e-87,-223.7271289230095,-223.7271289230095,iMerge,[.. [v case [v case] [V [V] [DP case_agr]]] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1,2,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.9279526824674655e-73,1.9279526824674655e-73,-193.10571712907733,-193.10571712907733,iMerge,[.. [V [V] [DP case_agr]] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,4.956417613895418e-33,4.956417613895418e-33,-100.05808883839221,-100.05808883839221,rMerge,[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v [DP] [v case [v case] [V [V] [DP case_agr]]]],1,0.9997565232486674,0.9997565232486674,-45.86892162385779,-45.86892162385779,xMerge,[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,7.736292755372829e-28,7.736292755372829e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [T case] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,7.736292755372829e-28,7.736292755372829e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,2.9230614561275547e-24,2.9230614561275547e-24,-100.05808883839221,-100.05808883839221,iMerge,[.. [DP] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.4693585219396438e-37,1.4693585219396438e-37,-130.67950063232442,-130.67950063232442,iMerge,[.. [V [V] [DP case_agr]] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0.00024347675133263005,0.00024347675133263005,-54.18916721453442,-54.18916721453442,rMerge,[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1.0,1.0,-10.815745730005744,-10.815745730005744,Label,[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.7728205367183024e-20,1.7728205367183024e-20,-56.29487578804273,-56.29487578804273,Label,[v [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,0,1,0,0,0,0,0,1,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,4.626342541751016e-43,4.626342541751016e-43,-108.29513812061069,-108.29513812061069,xMerge,[.. [T case] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,4.626342541751016e-43,4.626342541751016e-43,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.3526376924946562e-66,1.3526376924946562e-66,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP2 case_agr] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.3526376924946562e-66,1.3526376924946562e-66,-162.4843053351451,-162.4843053351451,iMerge,[.. [v [DP] [v case [v case] [V [V] [DP case_agr]]]] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.3526376924946562e-66,1.3526376924946562e-66,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,6.799411337717153e-80,6.799411337717153e-80,-193.10571712907733,-193.10571712907733,iMerge,[.. [V [V] [DP case_agr]] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.7480056655358396e-39,1.7480056655358396e-39,-100.05808883839221,-100.05808883839221,rMerge,[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.617999557271569e-06,1.617999557271569e-06,-59.20299651241529,-59.20299651241529,mtAgree,[DP2 [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0.9997549056430554,0.9997549056430554,-45.86892162385779,-45.86892162385779,xMerge,[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,7.7362802380545755e-28,7.7362802380545755e-28,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,2.9230567266154125e-24,2.9230567266154125e-24,-100.05808883839221,-100.05808883839221,iMerge,[.. [v [DP] [v case [v case] [V [V] [DP case_agr]]]] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,2.9230567266154125e-24,2.9230567266154125e-24,-100.05808883839221,-100.05808883839221,iMerge,[.. [DP] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.4693561445182057e-37,1.4693561445182057e-37,-130.67950063232442,-130.67950063232442,iMerge,[.. [V [V] [DP case_agr]] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,0.00024347635738735418,0.00024347635738735418,-54.18916721453442,-54.18916721453442,rMerge,[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1.0,1.0,0.0,0.0,Agree,[.. [T case] [DP2 [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.0095620406309389e-33,1.0095620406309389e-33,-75.97579145512972,-75.97579145512972,Label,[T case [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,4.684253889548799e-37,4.684253889548799e-37,-83.65144179293743,-83.65144179293743,Label,[DP2 case_agr [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,0,0,0,1,0,0,0,1.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,9.290072371962274e-48,9.290072371962274e-48,-108.29513812061069,-108.29513812061069,xMerge,[.. [C] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,2.7162065806660496e-71,2.7162065806660496e-71,-162.4843053351451,-162.4843053351451,iMerge,[.. [T case] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,2.7162065806660496e-71,2.7162065806660496e-71,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,2.7162065806660496e-71,2.7162065806660496e-71,-162.4843053351451,-162.4843053351451,iMerge,[.. [v [DP] [v case [v case] [V [V] [DP case_agr]]]] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,2.7162065806660496e-71,2.7162065806660496e-71,-162.4843053351451,-162.4843053351451,iMerge,[.. [DP] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.365377138507889e-84,1.365377138507889e-84,-193.10571712907733,-193.10571712907733,iMerge,[.. [V [V] [DP case_agr]] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,3.510137650395797e-44,3.510137650395797e-44,-100.05808883839221,-100.05808883839221,rMerge,[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
acc_[.. [T case] [DP2 [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1.0,1.0,-45.35437966119751,-45.35437966119751,Label,[T [T case] [DP2 [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0
