input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,merge_cond_(56.59),exhaust_ws_(45.57),label_cons_(34.38),case_agr_(26.71),wh_agr_(14.33),foc_agr_(0.00),cl_agr_(22.05),case_(64.68),wh_(5.27),foc_(0.00),cl_(5.27),case_mt_(44.24),wh_mt_(36.69),foc_mt_(0.00),cl_mt_(23.79),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_T_(31.41),LB_C_(17.35),LB_DP2_(0.00)
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.6240382143013196e-25,2.6579349203318524e-25,-132.2032493050138,-128.2032493050138,xMerge,"[.. [DP2 case_agr] [V [V] [DP case_agr,wh,cl]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,0.01299096107506588,0.00024101137556220936,-79.94683787978857,-79.94683787978857,iMerge,"[.. [DP case_agr,wh,cl] [V [V] [DP case_agr,wh,cl]]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,1.3542025592172372e-05,1.3716958281053978e-05,-86.81304911558111,-82.81304911558111,rMerge,"[V [V] [DP case_agr,wh,cl]]",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",1,0.9999999999999999,1.0,-83.89452549017537,-75.89452549017537,Label,"[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,2.4891794344565443e-26,3.3687380378892785e-27,-142.8497847962506,-136.8497847962506,Label,"[V [v case] [V [V] [DP case_agr,wh,cl]]]",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.046617083875543e-21,1.916946056304446e-23,-132.2032493050138,-128.2032493050138,xMerge,"[.. [T case] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.046617083875543e-21,1.916946056304446e-23,-132.2032493050138,-128.2032493050138,xMerge,"[.. [C wh_agr,cl_agr] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.046617083875543e-21,1.916946056304446e-23,-132.2032493050138,-128.2032493050138,xMerge,"[.. [DP2 case_agr] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.6913628236224815e-41,3.097839070729918e-43,-177.77497969445534,-173.77497969445534,iMerge,"[.. [v case] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.6913628236224815e-41,3.097839070729918e-43,-177.77497969445534,-173.77497969445534,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.377570803498081e-23,4.6212352186324105e-27,-136.53366096831581,-136.53366096831581,iMerge,"[.. [DP case_agr,wh,cl] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,6.36182614048853e-17,1.1652091026209742e-18,-121.18815660592813,-117.18815660592813,rMerge,"[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,2.480000251011241e-41,7.392776556115393e-38,-173.44456803115335,-165.44456803115335,xMerge,"[.. [T case] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,2.480000251011241e-41,7.392776556115393e-38,-173.44456803115335,-165.44456803115335,xMerge,"[.. [C wh_agr,cl_agr] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,9.32817619315454e-17,2.78069013275088e-13,-116.85774494262611,-108.85774494262611,xMerge,"[.. [DP2 case_agr] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.2277864915019518e-18,6.70348710716727e-17,-121.18815660592813,-117.18815660592813,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",1,0.9999999999999999,0.9999999999997218,-79.94683787978857,-79.94683787978857,iMerge,"[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.2798680554555046e-21,3.815232902268591e-18,-128.05436784172068,-120.05436784172068,rMerge,"[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1.0,1.0,0.0,0.0,Agree,"[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,4.089834807788028e-73,3.0220018830104994e-72,-166.68020720862017,-164.68020720862017,Label,"[DP case_agr,wh,cl [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.991904086211952e-19,1.6335242818377748e-17,-42.65320676403581,-38.65320676403581,Label,"[v case [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.131377929946453e-40,3.131377929946453e-40,-90.96193057887425,-90.96193057887425,xMerge,"[.. [T case] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.131377929946453e-40,3.131377929946453e-40,-90.96193057887425,-90.96193057887425,xMerge,"[.. [C wh_agr,cl_agr] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.131377929946453e-40,3.131377929946453e-40,-90.96193057887425,-90.96193057887425,xMerge,"[.. [DP2 case_agr] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,5.060395343262909e-60,5.060395343262909e-60,-136.53366096831581,-136.53366096831581,iMerge,"[.. [DP case_agr,wh,cl] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,7.628341887720375e-96,2.273976667808503e-92,-219.01629842059492,-211.01629842059492,iMerge,"[.. [v case [v case] [V [V] [DP case_agr,wh,cl]]] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
