input,winner,probability,harmony,operation,output,merge_cond_(58.05),exhaust_ws_(55.79),label_cons_(40.73),case_agr_(34.80),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(73.57),wh_(0.00),foc_(0.00),cl_(0.00),case_mt_(86.51),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(47.53),LB_v_(0.00),LB_DP2_(3.00),LB_T_(14.10),LB_C_(0.00)
accusative_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,2.4410407349396437e-41,-96.51831997378109,iMerge,[.. [DP] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.8873347908496955e-56,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,2.4410407349396437e-41,-96.51831997378109,rMerge,[.. [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1.3140154954108165e-20,-86.50916180205752,mtAgree,[DP2 [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0.999999711111309,-40.730547943608315,xMerge,[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,6.147786666316204e-26,-98.78166794717879,xMerge,[.. [C] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,5.911236349838162e-25,-96.51831997378109,iMerge,[.. [v [DP] [v case [v case] [V [V] [DP case_agr]]]] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,5.911236349838162e-25,-96.51831997378109,iMerge,[.. [DP] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,4.570379289578212e-40,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,2.8888869094802855e-07,-55.787772030172775,rMerge,[DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],1,1.0,0.0,Agree,[.. [T case] [DP2 [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,5.815962722145131e-22,-48.89626571519321,Label,[T case [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,5.5380403047977975e-34,-76.57625245921362,Label,[DP2 case_agr [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.2579596104033454e-43,-98.78166794717879,xMerge,[.. [C] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,7.436098723849228e-68,-154.56943997735158,iMerge,[.. [T case] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.2095567037787713e-42,-96.51831997378109,iMerge,[.. [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.2095567037787713e-42,-96.51831997378109,iMerge,[.. [v [DP] [v case [v case] [V [V] [DP case_agr]]]] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.2095567037787713e-42,-96.51831997378109,iMerge,[.. [DP] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,9.351906405624153e-58,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1.2095567037787713e-42,-96.51831997378109,rMerge,[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP] [v case [v case] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
