input,winner,probability,harmony,operation,output,merge_cond_(58.05),exhaust_ws_(55.79),label_cons_(40.73),case_agr_(34.80),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(73.57),wh_(0.00),foc_(0.00),cl_(0.00),case_mt_(86.51),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(47.53),LB_v_(0.00),LB_DP2_(3.00),LB_T_(14.10),LB_C_(0.00)
accusative_[.. [v case] [V [V] [DP case_agr]]],0,9.617700040245547e-53,-189.3654751810584,iMerge,[.. [v case] [.. [v case] [V [V] [DP case_agr]]]],1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [v case] [V [V] [DP case_agr]]],0,1.5644162336498313e-27,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [.. [v case] [V [V] [DP case_agr]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [v case] [V [V] [DP case_agr]]],0,2.023384389062649e-12,-96.51831997378109,iMerge,[.. [DP case_agr] [.. [v case] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [v case] [V [V] [DP case_agr]]],0,1.5644162336498313e-27,-131.3143551774879,rMerge,[.. [v case] [V [V] [DP case_agr]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[v case [v case] [V [V] [DP case_agr]]],0,1.0112742501242093e-06,-110.32261835102194,xMerge,[.. [DP2 case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[v case [v case] [V [V] [DP case_agr]]],0,6.217100146952367e-32,-168.37373835459243,xMerge,[.. [T case] [v case [v case] [V [V] [DP case_agr]]]],1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[v case [v case] [V [V] [DP case_agr]]],0,6.217100146952367e-32,-168.37373835459243,xMerge,[.. [C] [v case [v case] [V [V] [DP case_agr]]]],1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[v case [v case] [V [V] [DP case_agr]]],0,7.731673032825209e-16,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [v case [v case] [V [V] [DP case_agr]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[v case [v case] [V [V] [DP case_agr]]],1,0.999998988725457,-96.51831997378109,iMerge,[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[v case [v case] [V [V] [DP case_agr]]],0,2.9214577870544366e-13,-125.3798424375864,rMerge,[v case [v case] [V [V] [DP case_agr]]],0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],1,0.9999999999999993,0.0,Agree,[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,4.157734141834024e-76,-173.5714968191087,Label,[DP case_agr [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,7.731680851677169e-16,-34.796035203706815,Label,[v case [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1.2579596104033446e-43,-98.78166794717879,xMerge,[.. [DP2 case_agr] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1.2579596104033446e-43,-98.78166794717879,xMerge,[.. [T case] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1.2579596104033446e-43,-98.78166794717879,xMerge,[.. [C] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
