input,winner,probability,harmony,operation,output,merge_cond_(68.93),exhaust_ws_(51.72),label_cons_(47.26),case_agr_(27.57),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(79.98),wh_(10.09),foc_(22.63),cl_(0.00),case_mt_(82.62),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(68.31),LB_v_(21.04),LB_T_(34.16),LB_C_(0.00),LB_DP2_(0.00)
unaccusative_[.. [v] [V [V] [DP case_agr]]],0,1.5456267908543529e-52,-195.479099611328,iMerge,[.. [v] [.. [v] [V [V] [DP case_agr]]]],1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [v] [V [V] [DP case_agr]]],0,1.3351425226159951e-22,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [.. [v] [V [V] [DP case_agr]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [v] [V [V] [DP case_agr]]],0,1.254379965917817e-10,-98.97931382409246,iMerge,[.. [DP case_agr] [.. [v] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [v] [V [V] [DP case_agr]]],0,1.3351425226159951e-22,-126.54793829479203,rMerge,[.. [v] [V [V] [DP case_agr]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [v] [V [V] [DP case_agr]]],0,0.03172476957430548,-102.39735320689704,xMerge,[.. [T case] [v [v] [V [V] [DP case_agr]]]],0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [v] [V [V] [DP case_agr]]],0,3.672615691368451e-32,-171.328514523433,xMerge,[.. [C] [v [v] [V [V] [DP case_agr]]]],1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [v] [V [V] [DP case_agr]]],0,1.030226312936809e-12,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [v [v] [V [V] [DP case_agr]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [v] [V [V] [DP case_agr]]],1,0.9679080887763726,-98.97931382409246,iMerge,[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [v] [V [V] [DP case_agr]]],0,0.0003671416482918543,-106.85645849999374,rMerge,[v [v] [V [V] [DP case_agr]]],0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,4.811153963814041e-23,-100.0,Label,[DP case_agr [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
