input,winner,probability,harmony,operation,output,merge_cond_(59.09),case_(47.04),label_cons_(44.71),exhaust_ws_(54.45),foc_(17.29),case_mt_(57.30),case_agr_(30.95),LB_DP_(100.00),LB_V_(60.70),LB_v_(23.60),LB_DP2_(5.76),LB_T_(26.63),LB_C_(0.00),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),wh_(0.00),cl_(0.00),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00)
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,2.4611796673496317e-31,-155.99037831991564,Label,"[V [v case,foc] [V [V] [DP case_agr]]]",0,1,0,0,1,0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,4.1148841430714165e-22,-134.75314257859364,xMerge,"[.. [DP2 case_agr] [.. [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,4.1148841430714165e-22,-134.75314257859364,xMerge,"[.. [T case] [.. [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,4.1148841430714165e-22,-134.75314257859364,xMerge,"[.. [C] [.. [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,9.240992199240076e-46,-189.20614622864244,iMerge,"[.. [v case,foc] [.. [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,9.240992199240076e-46,-189.20614622864244,iMerge,"[.. [V [V] [DP case_agr]] [.. [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,2.5661653925583496e-32,-158.25119146796757,iMerge,"[.. [DP case_agr] [.. [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [v case,foc] [V [V] [DP case_agr]]]",0,4.2533019913893124e-20,-130.1148874511303,rMerge,"[.. [v case,foc] [V [V] [DP case_agr]]]",0,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[v case,foc [v case,foc] [V [V] [DP case_agr]]]",0,0.0005771068200592174,-106.61683856175637,xMerge,"[.. [DP2 case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,1,0,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[v case,foc [v case,foc] [V [V] [DP case_agr]]]",0,1.2538586804069072e-29,-165.7080973392685,xMerge,"[.. [T case] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,0,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
